traditionalName	bname	NativeGene	in_iYLI647
OSH6	YALI0E20449g	OSH6	0
PAH1	YALI0D27016g	PAH1	1
PAT1	YALI0E11099g	PAT1	1
PCK1	YALI0C16995g	PCK1	1
PDA1	YALI0F20702g	PDA1	1
PDB1	YALI0E27005g	PDB1	1
PDC	YALI0D10131g	PDC	1
PDC1	YALI0D10131g	PDC1	1
PDC2	YALI0D06930g	PDC2	1
PDC5	YALI0E07315g	PDC5	0
PDE2	YALI0D23683g	PDE2	0
PDE3	YALI0D20768g	PDE3	1
PEX10	YALI0C01023g	PEX10	0
PHD1	YALI0F02497g	PHD1	1
PIS1	YALI0F20328g	PIS1	1
PMK	YALI0E06193g	PMK	1
POR1	YALI0D12628g	POR1	0
POS5	YALI0E17963g	POS5	1
POT1	YALI0E18568g	POT1	1
POX1	YALI0E32835g	POX1	1
POX2	YALI0F10857g	POX2	1
POX3	YALI0D24750g	POX3	1
POX4	YALI0E27654g	POX4	1
POX5	YALI0C23859g	POX5	1
POX6	YALI0E06567g	POX6	1
PSD1	YALI0D21604g	PSD1	1
PXA1	YALI0A06655g	PXA1	1
PXA2	YALI0D04246g	PXA2	1
PYC1	YALI0C24101g	PYC1	1
RIB1	YALI0E02288g	RIB1	1
RIB3	YALI0B08965g	RIB3	0
RKI	YALI0B06941g	RKI	1
RPE	YALI0C11880g	RPE	1
SCD1	YALI0C05951g	SCD1	1
SCS2	YALI0D04741g	SCS2	1
SCT1	YALI0C00209g	SCT1	1
SDH1	YALI0D11374g	SDH1	1
SDH2	YALI0D23397g	SDH2	1
SDH5	YALI0F11957g	SDH5	0
SLC1	YALI0E18964g	SLC1	1
snf1	YALI0D08822g	snf1	0
SOD1	YALI0E12133g	SOD1	0
SQS1	YALI0A10076g	SQS1	1
TAL	YALI0F15587g	TAL	1
TEc1	YALI0E18876g	TEc1	0
TEc2	YALI0E21472g	TEc2	0
TEm1	YALI0B05302g	TEm1	0
TEm2	YALI0C15230g	TEm2	0
TEm3	YALI0C22121g	TEm3	0
TGL3	YALI0D17534g	TGL3	1
TGL4	YALI0F10010g	TGL4	1
tHMG1	YALI0E04807g	tHMG1	1
THR1	YALI0F13453g	THR1	1
THR4	YALI0F23221g	THR4	1
TKL	YALI0E06479g	TKL	1
TKL1	YALI0E06479g	TKL1	1
